LAFeq, LAFmin, LAFE, LAFmax, LCpeak, Freq[Hz]:, 25, 31.5, 40, 50, 63, 80, 100, 125, 160, 200, 250, 315, 400, 500, 630, 800, 1k, 1.25k, 1.6k, 2k, 2.5k, 3.15k, 4k, 5k, 6.3k, 8k, 10k, 12.5k, 16k, 20k
29.4, -4.8, 23.8, 25.3, 83.6, -, 27.3, 29.0, 30.8, 31.7, 31.9, 31.7, 31.5, 31.3, 31.1, 30.9, 30.6, 30.1, 29.7, 29.2, 28.6, 28.1, 27.5, 26.9, 26.4, 25.9, 25.3, 24.7, 24.0, 23.4, 22.8, 22.2, 21.6, 21.0, 20.6, 21.5
29.1, 23.8, 24.3, 25.2, 83.1, -, 27.1, 29.0, 30.0, 30.6, 30.8, 30.9, 30.7, 30.7, 30.9, 30.6, 30.3, 29.9, 29.4, 28.8, 28.3, 27.7, 27.1, 26.5, 26.1, 25.6, 25.0, 24.4, 23.8, 23.1, 22.5, 21.9, 21.4, 20.8, 20.4, 21.3
28.9, 24.5, 25.7, 27.2, 83.8, -, 28.4, 30.2, 31.2, 31.6, 31.9, 31.8, 31.6, 31.4, 31.3, 31.1, 30.7, 30.3, 29.8, 29.4, 28.9, 28.4, 27.9, 27.6, 27.5, 27.2, 26.7, 26.1, 25.4, 24.8, 24.1, 23.5, 22.9, 22.3, 21.8, 22.3
28.8, 26.4, 27.5, 28.2, 85.5, -, 31.2, 33.3, 34.1, 34.4, 34.4, 34.1, 33.8, 33.6, 33.4, 33.3, 33.1, 32.8, 32.5, 32.0, 31.4, 30.9, 30.4, 30.0, 29.7, 29.2, 28.7, 28.1, 27.5, 26.8, 26.1, 25.5, 24.8, 24.2, 23.6, 23.8
28.8, 27.8, 28.8, 30.1, 86.4, -, 32.3, 34.2, 35.1, 35.7, 36.2, 36.1, 35.9, 35.6, 35.5, 35.4, 35.2, 34.8, 34.3, 33.8, 33.2, 32.8, 32.3, 31.8, 31.5, 31.1, 30.6, 30.0, 29.3, 28.7, 28.0, 27.3, 26.6, 25.9, 25.3, 25.2
29.3, 30.1, 34.9, 37.7, 87.5, -, 38.0, 38.4, 38.6, 39.0, 39.3, 39.1, 38.8, 38.8, 38.8, 38.8, 38.7, 38.4, 38.0, 37.5, 37.0, 36.6, 36.2, 36.3, 36.4, 36.4, 36.2, 35.8, 35.2, 34.5, 33.8, 33.1, 32.4, 31.7, 31.0, 30.4
30.2, 36.2, 39.2, 41.5, 89.9, -, 41.7, 41.9, 42.4, 42.8, 42.9, 42.7, 42.7, 42.7, 42.9, 43.0, 43.1, 42.8, 42.4, 42.1, 41.9, 41.7, 41.4, 41.3, 41.4, 41.1, 40.7, 40.1, 39.4, 38.7, 38.0, 37.3, 36.6, 35.8, 35.1, 34.5
31.4, 40.6, 41.9, 43.4, 90.3, -, 44.1, 43.9, 43.8, 44.1, 44.4, 44.2, 44.2, 44.4, 44.4, 44.4, 44.4, 44.4, 44.2, 44.0, 43.8, 43.5, 43.3, 43.4, 43.6, 43.4, 42.9, 42.2, 41.6, 40.9, 40.2, 39.4, 38.7, 38.0, 37.3, 36.6
32.8, 42.4, 44.8, 47.6, 92.5, -, 47.4, 47.0, 46.7, 46.6, 47.2, 47.7, 47.7, 48.1, 48.2, 48.0, 48.0, 48.0, 47.7, 47.3, 47.0, 46.6, 46.6, 46.9, 47.1, 46.8, 46.2, 45.6, 44.9, 44.2, 43.5, 42.8, 42.1, 41.4, 40.6, 39.9
34.0, 44.9, 45.7, 47.7, 92.9, -, 47.4, 46.9, 46.8, 47.2, 48.7, 49.3, 49.0, 49.3, 49.5, 49.5, 49.6, 49.7, 49.5, 49.1, 48.7, 48.5, 48.3, 48.1, 47.7, 47.2, 46.6, 46.0, 45.3, 44.6, 43.9, 43.1, 42.4, 41.7, 40.9, 40.2
