LAFeq, LAFmin, LAFE, LAFmax, LCpeak, Freq[Hz]:, 25, 31.5, 40, 50, 63, 80, 100, 125, 160, 200, 250, 315, 400, 500, 630, 800, 1k, 1.25k, 1.6k, 2k, 2.5k, 3.15k, 4k, 5k, 6.3k, 8k, 10k, 12.5k, 16k, 20k
37.1, 12.1, 15.8, 24.8, 76.8, -, 16.4, 15.3, 14.2, 13.2, 12.1, 11.1, 10.1, 9.1, 8.2, 7.3, 6.4, 5.7, 5.1, 4.6, 4.3, 4.2, 4.1, 4.3, 4.7, 5.1, 5.6, 6.3, 7.0, 8.6, 12.5, 13.9, 13.5, 13.3, 13.3, 13.5
36.8, 12.0, 16.4, 25.7, 76.0, -, 17.2, 16.0, 14.9, 13.8, 12.8, 11.7, 10.7, 9.7, 8.7, 7.8, 6.9, 6.2, 5.5, 5.0, 4.6, 4.4, 4.4, 4.5, 4.7, 5.1, 5.7, 6.2, 7.1, 9.3, 13.7, 14.8, 14.3, 14.0, 13.8, 13.9
36.6, 12.0, 15.3, 23.9, 75.2, -, 16.0, 14.9, 13.8, 12.7, 11.7, 10.6, 9.6, 8.7, 7.8, 6.9, 6.0, 5.3, 4.7, 4.3, 4.0, 4.0, 4.1, 4.3, 4.6, 5.1, 5.6, 6.2, 6.9, 8.7, 11.9, 13.0, 12.8, 12.7, 12.9, 13.2
36.3, 12.4, 16.5, 25.9, 76.5, -, 17.2, 16.1, 15.0, 13.9, 12.8, 11.8, 10.7, 9.7, 8.8, 7.9, 7.0, 6.2, 5.5, 5.0, 4.7, 4.4, 4.3, 4.4, 4.8, 5.1, 5.6, 6.3, 7.0, 10.9, 13.9, 14.7, 14.2, 13.9, 13.8, 13.9
36.1, 12.3, 14.5, 18.5, 73.6, -, 15.0, 13.9, 12.8, 11.7, 10.7, 9.7, 8.7, 7.8, 6.9, 6.1, 5.3, 4.6, 4.1, 3.8, 3.6, 3.7, 3.8, 4.0, 4.4, 4.9, 5.4, 6.2, 6.8, 8.4, 10.1, 11.0, 11.3, 11.6, 12.0, 12.6
35.9, 12.3, 14.9, 21.3, 74.4, -, 15.5, 14.4, 13.4, 12.3, 11.3, 10.2, 9.2, 8.3, 7.4, 6.5, 5.7, 5.0, 4.4, 4.1, 3.9, 3.9, 4.0, 4.0, 4.6, 5.0, 5.4, 6.1, 6.9, 7.9, 10.9, 12.4, 12.3, 12.3, 12.5, 13.0
35.7, 12.1, 15.7, 22.7, 75.4, -, 16.3, 15.2, 14.1, 13.1, 12.0, 11.0, 10.0, 9.0, 8.1, 7.2, 6.3, 5.6, 5.0, 4.5, 4.2, 4.1, 4.1, 4.3, 4.6, 5.0, 5.6, 6.4, 6.9, 9.2, 12.4, 13.4, 13.2, 13.0, 13.1, 13.5
35.5, 12.2, 15.3, 22.1, 75.4, -, 15.9, 14.8, 13.7, 12.6, 11.6, 10.6, 9.6, 8.6, 7.7, 6.8, 6.0, 5.2, 4.6, 4.2, 3.9, 4.0, 4.0, 4.2, 4.5, 5.0, 5.5, 6.3, 6.9, 8.3, 11.7, 12.9, 12.8, 12.7, 12.9, 13.3
35.3, 12.5, 21.8, 38.2, 85.8, -, 22.1, 21.0, 19.8, 18.7, 17.6, 16.4, 15.3, 14.3, 13.3, 12.6, 13.3, 13.8, 14.1, 15.0, 16.6, 18.3, 19.9, 20.0, 19.3, 18.7, 18.2, 17.5, 16.8, 16.3, 16.1, 16.0, 15.5, 15.0, 14.7, 14.6
35.2, 16.2, 26.4, 32.3, 81.0, -, 27.7, 26.5, 25.3, 24.2, 23.0, 21.8, 20.7, 19.5, 18.4, 17.3, 16.2, 15.1, 14.0, 13.0, 12.0, 11.1, 10.3, 9.6, 9.1, 9.4, 10.2, 11.0, 13.1, 19.2, 24.9, 26.6, 25.9, 24.8, 23.8, 22.8
35.0, 12.8, 20.9, 27.0, 77.2, -, 22.1, 21.0, 19.8, 18.7, 17.5, 16.4, 15.3, 14.2, 13.2, 12.1, 11.1, 10.2, 9.2, 8.6, 8.9, 9.1, 8.6, 8.0, 7.6, 7.5, 7.5, 7.8, 8.2, 12.1, 19.0, 20.7, 19.9, 19.0, 18.3, 17.7
